"contrast" "interval" "correct" "subject"
0.4 1 1 "s3"
0.035 1 0 "s3"
0.4 2 1 "s3"
0.4 2 1 "s3"
0.035 2 1 "s3"
0.13 1 0 "s3"
0.4 1 1 "s3"
0.13 1 0 "s3"
0.13 1 1 "s3"
0.13 2 0 "s3"
0.035 2 0 "s3"
0.4 1 1 "s3"
0.035 2 0 "s3"
0.13 2 1 "s3"
0.035 1 0 "s3"
0.035 2 0 "s3"
0.13 2 0 "s3"
0.035 2 0 "s3"
0.4 2 1 "s3"
0.13 2 1 "s3"
0.4 1 1 "s3"
0.035 1 0 "s3"
0.4 2 1 "s3"
0.13 1 1 "s3"
0.035 1 0 "s3"
0.4 1 1 "s3"
0.4 2 1 "s3"
0.13 1 0 "s3"
0.035 1 0 "s3"
