"contrast" "interval" "correct" "subject"
0.2 2 1 "s2"
0.2 1 1 "s2"
0.2 1 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.8 2 1 "s2"
0.8 1 1 "s2"
0.8 1 1 "s2"
0.8 1 1 "s2"
0.8 2 1 "s2"
0.8 2 1 "s2"
0.8 1 1 "s2"
0.8 2 1 "s2"
0.8 2 1 "s2"
0.8 1 1 "s2"
0.8 1 1 "s2"
0.8 2 1 "s2"
0.8 1 1 "s2"
0.8 2 1 "s2"
0.8 1 1 "s2"
0.8 2 1 "s2"
0.8 2 1 "s2"
0.8 1 1 "s2"
0.8 1 1 "s2"
0.8 2 1 "s2"
0.1 2 0 "s2"
0.1 2 0 "s2"
0.1 1 0 "s2"
0.1 1 0 "s2"
0.1 2 1 "s2"
0.1 2 1 "s2"
0.1 2 1 "s2"
0.1 1 0 "s2"
0.1 2 1 "s2"
0.1 2 1 "s2"
0.1 1 0 "s2"
0.1 2 1 "s2"
0.1 1 0 "s2"
0.1 1 1 "s2"
0.1 2 0 "s2"
0.1 1 1 "s2"
0.1 2 1 "s2"
0.1 1 1 "s2"
0.1 1 0 "s2"
0.1 1 0 "s2"
0.2 1 1 "s2"
0.2 1 0 "s2"
0.2 1 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.2 1 1 "s2"
0.2 1 1 "s2"
0.2 1 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.2 1 0 "s2"
0.2 2 1 "s2"
0.2 1 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.2 2 1 "s2"
0.2 1 1 "s2"
0.2 1 1 "s2"
0.025 2 1 "s2"
0.025 1 1 "s2"
0.025 1 0 "s2"
0.025 1 1 "s2"
0.025 2 0 "s2"
0.025 2 1 "s2"
0.025 2 1 "s2"
0.025 2 1 "s2"
0.025 1 0 "s2"
0.025 1 1 "s2"
0.025 2 1 "s2"
0.025 1 0 "s2"
0.025 1 1 "s2"
0.025 2 0 "s2"
0.025 1 0 "s2"
0.025 1 0 "s2"
0.025 2 1 "s2"
0.025 1 0 "s2"
0.025 2 1 "s2"
0.025 2 1 "s2"
0.4 1 1 "s2"
0.4 2 1 "s2"
0.4 2 1 "s2"
0.4 1 1 "s2"
0.4 2 1 "s2"
0.4 2 1 "s2"
0.4 2 1 "s2"
0.4 1 1 "s2"
0.4 1 1 "s2"
0.4 1 1 "s2"
0.4 1 1 "s2"
0.4 2 1 "s2"
0.4 2 1 "s2"
0.4 2 1 "s2"
0.4 1 1 "s2"
0.4 2 1 "s2"
0.4 1 1 "s2"
0.4 2 1 "s2"
